long	lat	bio01	bio02	bio03	bio04	bio05	bio06	bio07	bio08	bio09	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	srtm	ndvi	ndvistd	qscat	tree
-91.480833	44.7525	6.83333349227905	11.8499994277954	26.569507598877	1178.01904296875	28.2999992370605	-16.2999992370605	44.5999984741211	20.6000003814697	-8.56666660308838	20.6000003814697	-8.56666660308838	807	110	18	51.070873260498	315	72	315	72	289	8381	2320	-922	28
-70.416389	44.982778	3.60833334922791	11.8833332061768	28.9837398529053	1046.46118164062	23.5	-17.5	41	16.1333332061768	-8.61666679382324	16.1333332061768	-9.75	1113	112	69	13.8787822723389	315	228	315	244	542	9266	2885	-1004	77
-70.438889	44.990278	3.60416674613953	11.8416662216187	28.811840057373	1049.40991210938	23.6000003814697	-17.5	41.0999984741211	16.1666660308838	-8.66666698455811	16.1666660308838	-9.80000019073486	1099	110	67	14.4505548477173	314	222	314	239	515	8610	3100	-997	76
-91.480833	44.7525	6.83333349227905	11.8499994277954	26.569507598877	1178.01904296875	28.2999992370605	-16.2999992370605	44.5999984741211	20.6000003814697	-8.56666660308838	20.6000003814697	-8.56666660308838	807	110	18	51.070873260498	315	72	315	72	289	8381	2320	-922	28
-91.480833	44.7525	6.83333349227905	11.8499994277954	26.569507598877	1178.01904296875	28.2999992370605	-16.2999992370605	44.5999984741211	20.6000003814697	-8.56666660308838	20.6000003814697	-8.56666660308838	807	110	18	51.070873260498	315	72	315	72	289	8381	2320	-922	28
-88.935	48.301667	3.09999990463257	9.19999980926514	24.2105255126953	1006.67315673828	21.5	-16.5	38	14.8666667938232	-4.34999990463257	14.8666667938232	-9.73333358764648	699	82	28	33.2694244384766	243	100	243	118	186	8622	2719	-1891	59
-88.935	48.301667	3.09999990463257	9.19999980926514	24.2105255126953	1006.67315673828	21.5	-16.5	38	14.8666667938232	-4.34999990463257	14.8666667938232	-9.73333358764648	699	82	28	33.2694244384766	243	100	243	118	186	8622	2719	-1891	59
-88.935	48.301667	3.09999990463257	9.19999980926514	24.2105255126953	1006.67315673828	21.5	-16.5	38	14.8666667938232	-4.34999990463257	14.8666667938232	-9.73333358764648	699	82	28	33.2694244384766	243	100	243	118	186	8622	2719	-1891	59
-91.480833	44.7525	6.83333349227905	11.8499994277954	26.569507598877	1178.01904296875	28.2999992370605	-16.2999992370605	44.5999984741211	20.6000003814697	-8.56666660308838	20.6000003814697	-8.56666660308838	807	110	18	51.070873260498	315	72	315	72	289	8381	2320	-922	28
-114.770935	55.285575	1.66249990463257	11.1416664123535	26.912239074707	1135.53979492188	21.3999996185303	-20	41.4000015258789	14.8000001907349	-4.56666660308838	14.8000001907349	-13.1499996185303	494	94	16	66.3094177246094	251	58	251	63	581	6867	2045	-1111	1
-114.770935	55.285575	1.66249990463257	11.1416664123535	26.912239074707	1135.53979492188	21.3999996185303	-20	41.4000015258789	14.8000001907349	-4.56666660308838	14.8000001907349	-13.1499996185303	494	94	16	66.3094177246094	251	58	251	63	581	6867	2045	-1111	1
-114.770935	55.285575	1.66249990463257	11.1416664123535	26.912239074707	1135.53979492188	21.3999996185303	-20	41.4000015258789	14.8000001907349	-4.56666660308838	14.8000001907349	-13.1499996185303	494	94	16	66.3094177246094	251	58	251	63	581	6867	2045	-1111	1
-114.770935	55.285575	1.66249990463257	11.1416664123535	26.912239074707	1135.53979492188	21.3999996185303	-20	41.4000015258789	14.8000001907349	-4.56666660308838	14.8000001907349	-13.1499996185303	494	94	16	66.3094177246094	251	58	251	63	581	6867	2045	-1111	1
-114.770935	55.285575	1.66249990463257	11.1416664123535	26.912239074707	1135.53979492188	21.3999996185303	-20	41.4000015258789	14.8000001907349	-4.56666660308838	14.8000001907349	-13.1499996185303	494	94	16	66.3094177246094	251	58	251	63	581	6867	2045	-1111	1
